i,c,d,h,t,s,qtd_p,e
2731,225,2020-07-01,08:40,109.30,COMPRA,1,Rio de Janeiro
2732,226,2020-10-12,16:37,176.44,DEVOLUÇÃO,5,Paraíba
2733,227,2020-08-19,00:32,234.57,CANCELADO,7,Rio Grande do Sul
2734,228,2020-11-17,14:33,106.14,DEVOLUÇÃO,1,Maranhão
2735,229,2020-04-19,19:48,118.89,DEVOLUÇÃO,5,Rio Grande do Sul
2736,230,2020-11-15,05:29,61.06,COMPRA,4,Minas Gerais
2737,231,2020-08-01,18:21,109.95,COMPRA,6,Goiás
2738,232,2020-12-30,20:47,85.12,DEVOLUÇÃO,4,Maranhão
2739,233,2021-03-18,12:44,223.16,COMPRA,7,Minas Gerais
2740,234,2020-10-31,12:49,120.71,DEVOLUÇÃO,2,Maranhão
2741,235,2020-11-10,03:23,171.83,DEVOLUÇÃO,3,Pernambuco
2742,236,2020-09-04,13:46,228.82,CANCELADO,3,Minas Gerais
2743,237,2020-05-07,08:27,207.06,DEVOLUÇÃO,2,Paraná
2744,238,2020-07-29,01:07,110.59,DEVOLUÇÃO,6,Ceará
2745,239,2020-06-04,18:35,238.83,COMPRA,3,Bahia
2746,240,2020-11-26,02:46,159.95,COMPRA,2,Rio Grande do Sul
2747,241,2020-11-03,15:20,79.94,COMPRA,6,Ceará
2748,242,2020-12-09,12:26,152.42,CANCELADO,3,Bahia
2749,243,2020-05-11,11:02,120.92,COMPRA,2,Santa Catarina
2750,244,2021-03-07,00:54,51.76,CANCELADO,4,Pernambuco
2751,245,2020-04-13,02:14,140.95,DEVOLUÇÃO,6,Goiás
2752,246,2020-06-18,16:44,115.83,CANCELADO,7,Pará
2753,247,2021-02-27,08:54,252.30,DEVOLUÇÃO,4,Santa Catarina
2754,248,2020-10-25,02:23,98.32,DEVOLUÇÃO,1,Rio Grande do Sul
2755,249,2021-01-26,09:18,106.94,CANCELADO,2,Rio de Janeiro
2756,250,2021-03-11,19:34,56.74,DEVOLUÇÃO,3,Bahia
2757,251,2020-10-10,22:41,245.23,COMPRA,5,Paraíba
2758,252,2020-11-20,23:23,87.17,CANCELADO,4,Goiás
2759,253,2020-07-11,09:58,216.16,COMPRA,5,Maranhão
2760,254,2020-10-30,19:14,101.66,COMPRA,3,Paraná
2761,255,2020-03-16,20:03,20.65,COMPRA,5,Pernambuco
2762,256,2020-09-20,03:53,188.11,CANCELADO,5,São Paulo
2763,257,2020-11-29,06:03,263.05,DEVOLUÇÃO,5,Rio Grande do Sul
2764,258,2020-07-13,21:15,63.87,CANCELADO,5,Minas Gerais
2765,259,2020-12-09,11:28,138.36,DEVOLUÇÃO,1,Pará
2766,260,2020-04-19,09:08,168.09,DEVOLUÇÃO,4,Bahia
2767,261,2020-03-23,00:14,62.55,DEVOLUÇÃO,4,Rio Grande do Sul
2768,262,2020-11-14,12:36,114.36,CANCELADO,1,Paraíba
2769,263,2021-02-19,05:28,226.12,DEVOLUÇÃO,3,Bahia
2770,264,2021-01-11,02:30,43.72,DEVOLUÇÃO,3,Rio de Janeiro
2771,265,2020-09-16,14:30,155.22,DEVOLUÇÃO,6,Ceará
2772,266,2020-09-25,18:16,107.93,COMPRA,5,São Paulo
2773,267,2020-08-25,18:19,49.63,COMPRA,3,Rio de Janeiro
2774,268,2020-11-13,01:22,121.20,DEVOLUÇÃO,7,Rio Grande do Sul
2775,269,2020-06-14,18:36,229.49,DEVOLUÇÃO,6,Paraíba
2776,270,2020-07-14,21:49,113.29,COMPRA,3,Ceará
2777,271,2020-09-26,13:24,129.64,COMPRA,3,Rio de Janeiro
2778,272,2020-03-12,16:28,192.50,CANCELADO,1,Paraná
2779,273,2020-10-25,11:10,191.79,DEVOLUÇÃO,4,Rio de Janeiro
2780,274,2020-07-20,01:37,32.53,DEVOLUÇÃO,5,Paraíba
2781,275,2020-06-03,16:24,211.23,CANCELADO,4,Minas Gerais
2782,276,2020-06-07,23:22,232.63,CANCELADO,5,Pernambuco
2783,277,2020-12-23,19:10,35.26,CANCELADO,2,Goiás
2784,278,2020-07-11,14:26,217.85,CANCELADO,5,Pernambuco
2785,279,2021-01-07,05:04,167.26,DEVOLUÇÃO,2,Rio Grande do Sul
2786,280,2021-03-16,18:07,91.85,COMPRA,5,Goiás
2787,281,2020-05-01,02:51,175.83,DEVOLUÇÃO,4,Pará
2788,282,2021-03-26,04:40,92.89,CANCELADO,1,Ceará
2789,283,2020-12-27,09:26,38.69,DEVOLUÇÃO,5,Pernambuco
2790,284,2020-10-09,05:17,47.51,COMPRA,3,Paraná
2791,285,2021-02-20,14:49,45.89,DEVOLUÇÃO,1,Rio Grande do Sul
2792,286,2021-01-01,01:43,29.60,CANCELADO,1,Santa Catarina
2793,287,2020-05-25,10:53,170.25,COMPRA,2,São Paulo
2794,288,2020-09-29,20:29,246.44,COMPRA,3,Paraná
2795,289,2020-10-14,03:17,208.12,DEVOLUÇÃO,6,Rio de Janeiro
2796,290,2021-02-20,08:04,138.06,COMPRA,1,Ceará
2797,291,2020-04-27,19:57,121.76,CANCELADO,3,Pará
2798,292,2020-09-11,02:38,62.09,DEVOLUÇÃO,5,São Paulo
2799,293,2021-02-12,15:22,219.63,CANCELADO,6,Goiás
2800,294,2021-03-10,07:20,127.29,DEVOLUÇÃO,7,Santa Catarina
2801,295,2021-01-31,20:42,131.84,COMPRA,4,Paraná
2802,296,2020-06-01,22:05,53.22,COMPRA,4,Paraíba
2803,297,2020-09-04,02:54,120.04,DEVOLUÇÃO,6,Paraíba
2804,298,2021-03-02,13:46,52.69,COMPRA,5,Rio Grande do Sul
2805,299,2020-12-14,15:35,110.82,CANCELADO,1,Pernambuco
2806,300,2020-03-29,10:20,234.79,COMPRA,3,Paraíba
2807,301,2020-09-07,06:25,89.62,COMPRA,3,Minas Gerais
2808,302,2020-07-13,15:52,224.78,CANCELADO,2,Ceará
2809,303,2021-01-22,18:39,99.71,DEVOLUÇÃO,3,Rio Grande do Sul
2810,304,2020-05-17,01:25,169.08,COMPRA,4,Santa Catarina
2811,305,2020-04-21,22:04,53.93,COMPRA,5,Goiás
2812,306,2021-02-18,13:33,82.21,COMPRA,3,Pernambuco
2813,307,2020-06-08,02:37,75.72,CANCELADO,6,Maranhão
2814,308,2020-03-04,06:26,214.09,COMPRA,1,Ceará
2815,309,2020-09-07,17:43,133.32,COMPRA,5,Ceará
2816,310,2020-06-09,23:35,120.04,COMPRA,5,Rio Grande do Sul
2817,311,2020-11-14,07:44,43.20,CANCELADO,4,Goiás
2818,312,2020-07-04,15:14,138.73,CANCELADO,4,Pernambuco
2819,313,2020-06-14,08:05,137.83,COMPRA,2,Pará
2820,314,2020-10-04,22:08,57.07,DEVOLUÇÃO,2,Maranhão
2821,315,2020-11-24,16:11,23.67,CANCELADO,1,Rio de Janeiro
2822,316,2020-05-01,20:42,245.77,DEVOLUÇÃO,5,Goiás
2823,317,2020-07-19,19:17,223.00,DEVOLUÇÃO,4,Pernambuco
2824,318,2020-10-28,03:59,250.28,CANCELADO,7,Paraíba
2825,319,2020-10-11,00:56,154.35,CANCELADO,7,Pernambuco
2826,320,2020-11-13,17:00,193.77,DEVOLUÇÃO,6,Ceará
2827,321,2020-12-19,01:20,197.07,COMPRA,5,Pernambuco
2828,322,2021-01-17,00:39,120.07,COMPRA,2,Pará
2829,323,2020-11-21,20:39,32.16,DEVOLUÇÃO,4,Paraíba
2830,324,2020-04-02,05:36,39.87,CANCELADO,7,São Paulo
2831,325,2020-07-16,01:40,152.56,DEVOLUÇÃO,3,Paraíba
2832,326,2020-10-24,20:56,225.24,COMPRA,1,São Paulo
2833,327,2021-02-06,17:22,172.42,DEVOLUÇÃO,4,Paraíba
2834,328,2020-11-04,16:56,145.69,CANCELADO,3,Santa Catarina
2835,329,2020-09-28,06:42,129.65,CANCELADO,6,Paraná
2836,330,2020-04-06,00:27,240.13,CANCELADO,6,Bahia
2837,331,2020-04-03,11:55,36.97,COMPRA,2,Maranhão
2838,332,2020-12-27,20:39,21.58,DEVOLUÇÃO,4,Santa Catarina
2839,333,2020-11-08,16:12,33.74,COMPRA,2,Maranhão
2840,334,2020-10-06,10:36,110.92,DEVOLUÇÃO,4,Rio de Janeiro
2841,335,2020-03-28,08:30,173.19,COMPRA,3,Pará
2842,336,2020-05-05,11:08,206.59,COMPRA,3,Rio Grande do Sul
2843,337,2021-01-07,02:31,236.87,DEVOLUÇÃO,6,Bahia
2844,338,2020-06-16,17:14,122.37,COMPRA,3,Pará
2845,339,2020-04-17,18:15,226.17,COMPRA,3,São Paulo
2846,340,2021-02-26,19:05,139.27,COMPRA,4,Paraíba
2847,341,2020-05-07,15:52,57.66,DEVOLUÇÃO,7,Rio de Janeiro
2848,342,2020-04-18,18:45,214.73,DEVOLUÇÃO,7,São Paulo
2849,343,2020-11-05,17:31,141.96,DEVOLUÇÃO,5,Maranhão
2850,344,2020-11-20,03:00,148.84,CANCELADO,3,Paraíba
2851,345,2020-12-22,02:07,206.22,DEVOLUÇÃO,5,Ceará
2852,346,2020-09-23,15:24,217.56,CANCELADO,1,Goiás
2853,347,2020-11-21,00:50,201.51,DEVOLUÇÃO,5,Bahia
2854,348,2021-03-19,04:17,76.09,COMPRA,4,São Paulo
2855,349,2020-07-28,16:06,86.84,DEVOLUÇÃO,5,Ceará
2856,350,2020-11-28,07:52,119.31,CANCELADO,6,Minas Gerais
2857,351,2020-06-07,01:00,69.28,COMPRA,6,Santa Catarina
2858,352,2021-03-12,03:45,241.90,COMPRA,1,Pernambuco
2859,353,2021-02-27,08:41,113.62,CANCELADO,1,Maranhão
2860,354,2020-04-23,23:33,69.22,CANCELADO,5,São Paulo
2861,355,2020-12-22,02:25,235.38,CANCELADO,6,Rio Grande do Sul
2862,356,2020-09-20,12:18,179.32,CANCELADO,2,Rio de Janeiro
2863,357,2020-08-07,11:09,112.85,DEVOLUÇÃO,2,Santa Catarina
2864,358,2020-10-26,01:56,94.58,DEVOLUÇÃO,5,Ceará
2865,359,2021-02-20,23:38,137.50,COMPRA,2,Paraná
2866,360,2020-11-29,15:54,101.02,DEVOLUÇÃO,4,Santa Catarina
2867,361,2020-04-30,03:50,198.84,CANCELADO,7,Ceará
2868,362,2021-01-08,18:38,118.89,COMPRA,2,Paraíba
2869,363,2020-06-08,08:38,177.60,COMPRA,1,Maranhão
2870,364,2020-03-07,08:55,231.64,CANCELADO,7,Pernambuco
2871,365,2020-03-09,05:34,74.64,DEVOLUÇÃO,7,Maranhão
2872,366,2020-10-25,19:32,96.00,CANCELADO,6,Paraná
2873,367,2020-09-27,06:46,165.01,CANCELADO,4,Paraná
2874,368,2020-11-21,00:27,201.95,COMPRA,6,Bahia
2875,369,2021-03-21,04:20,127.49,CANCELADO,2,Maranhão
2876,370,2021-02-10,16:11,189.90,COMPRA,3,Paraíba
2877,371,2020-04-27,05:19,228.88,COMPRA,2,Santa Catarina
2878,372,2020-05-29,20:58,231.35,DEVOLUÇÃO,2,Pernambuco
2879,373,2020-06-02,17:34,241.36,CANCELADO,5,Pará
2880,374,2020-03-12,10:49,178.12,DEVOLUÇÃO,4,Rio Grande do Sul
2881,375,2020-11-23,07:30,237.30,DEVOLUÇÃO,2,Bahia
2882,376,2020-08-11,02:07,238.03,COMPRA,3,Maranhão
2883,377,2020-11-23,16:04,48.16,CANCELADO,6,Minas Gerais
2884,378,2020-10-12,09:45,63.85,CANCELADO,3,Pará
2885,379,2021-03-21,23:44,112.10,DEVOLUÇÃO,1,Ceará
2886,380,2020-06-26,18:20,122.80,CANCELADO,3,Paraíba
2887,381,2020-05-05,10:17,24.23,DEVOLUÇÃO,4,Bahia
2888,382,2020-12-02,08:59,216.28,DEVOLUÇÃO,5,Rio de Janeiro
2889,383,2021-02-09,11:59,262.06,DEVOLUÇÃO,2,Ceará
2890,384,2020-07-03,08:38,66.89,DEVOLUÇÃO,7,Ceará
2891,385,2020-05-01,05:57,148.80,CANCELADO,1,Bahia
2892,386,2021-03-27,09:14,141.97,DEVOLUÇÃO,5,Goiás
2893,387,2020-07-25,19:35,149.06,COMPRA,1,Bahia
2894,388,2020-06-19,20:42,58.60,DEVOLUÇÃO,3,Rio de Janeiro
2895,389,2020-11-06,21:13,191.58,CANCELADO,4,Paraná
2896,390,2020-11-18,18:58,192.07,CANCELADO,4,Paraíba
2897,391,2020-06-18,14:33,171.95,CANCELADO,3,Santa Catarina
2898,392,2020-10-31,11:52,157.54,COMPRA,4,São Paulo
2899,393,2020-12-28,15:14,29.33,CANCELADO,2,Pernambuco
2900,394,2020-10-14,02:55,239.20,DEVOLUÇÃO,3,Bahia
2901,395,2021-01-10,15:40,77.78,COMPRA,2,Pará
2902,396,2021-02-15,03:58,39.38,DEVOLUÇÃO,3,Santa Catarina
2903,397,2021-03-23,18:15,70.13,COMPRA,7,Santa Catarina
2904,398,2021-02-10,23:01,71.19,COMPRA,1,Pará
2905,399,2020-05-18,16:30,254.96,CANCELADO,6,Santa Catarina
2906,400,2020-11-16,23:21,59.83,DEVOLUÇÃO,5,Minas Gerais
2907,401,2021-01-20,08:51,44.47,CANCELADO,6,Paraíba
2908,402,2020-09-17,16:18,188.98,CANCELADO,3,Maranhão
2909,403,2020-09-25,01:26,235.82,COMPRA,4,Minas Gerais
2910,404,2021-01-31,21:36,38.03,COMPRA,2,São Paulo
2911,405,2020-07-07,20:45,212.86,DEVOLUÇÃO,5,Paraíba
2912,406,2020-12-12,08:42,252.83,DEVOLUÇÃO,3,São Paulo
2913,407,2020-04-04,06:29,253.18,CANCELADO,7,Bahia
2914,408,2020-12-30,00:48,93.50,DEVOLUÇÃO,2,Pernambuco
2915,409,2020-03-17,03:05,149.42,COMPRA,2,Paraíba
2916,410,2020-05-28,00:51,71.38,COMPRA,2,Paraíba
2917,411,2020-12-12,13:49,127.36,DEVOLUÇÃO,3,Pará
2918,412,2021-02-12,18:22,52.26,COMPRA,3,Maranhão
2919,413,2020-05-17,12:50,215.92,COMPRA,4,Rio de Janeiro
2920,414,2020-09-20,08:24,46.34,COMPRA,4,Rio de Janeiro
2921,415,2020-06-19,19:07,95.97,DEVOLUÇÃO,2,Ceará
2922,416,2020-07-17,04:16,20.71,CANCELADO,4,Goiás
2923,417,2020-07-27,03:53,83.64,COMPRA,1,Pará
2924,418,2021-01-18,12:37,84.06,DEVOLUÇÃO,6,Paraíba
2925,419,2020-08-02,17:39,193.88,COMPRA,3,Rio de Janeiro
2926,420,2020-10-17,15:30,157.48,COMPRA,3,Ceará
2927,421,2021-03-27,14:24,182.46,CANCELADO,5,Bahia
2928,422,2021-01-29,07:52,56.29,COMPRA,7,Paraná
2929,423,2020-03-03,11:48,208.71,COMPRA,5,Pernambuco
2930,424,2021-03-30,21:47,111.23,CANCELADO,7,Minas Gerais
2931,425,2021-02-05,22:40,257.76,DEVOLUÇÃO,3,Goiás
2932,426,2020-07-24,21:24,254.78,CANCELADO,4,Rio de Janeiro
2933,427,2021-01-19,22:46,46.06,DEVOLUÇÃO,4,Rio Grande do Sul
2934,428,2020-03-04,03:03,108.36,CANCELADO,5,Maranhão
2935,429,2021-03-19,06:58,103.06,DEVOLUÇÃO,6,Pernambuco
2936,430,2021-03-26,18:32,167.68,DEVOLUÇÃO,1,Bahia
2937,431,2021-02-28,01:38,258.14,COMPRA,4,Bahia
2938,432,2020-07-03,13:48,117.07,CANCELADO,3,Pará
2939,433,2020-09-16,21:07,246.82,COMPRA,3,Pará
2940,434,2021-03-18,07:20,194.46,COMPRA,5,Maranhão
2941,435,2020-04-26,01:33,145.55,CANCELADO,2,Paraná
2942,436,2020-08-26,08:25,222.74,DEVOLUÇÃO,1,Ceará
2943,437,2020-07-15,19:14,167.13,DEVOLUÇÃO,5,Santa Catarina
2944,438,2020-09-17,20:06,199.52,COMPRA,5,Rio Grande do Sul
2945,439,2021-03-07,14:16,228.52,COMPRA,5,Rio Grande do Sul
2946,440,2020-05-15,10:19,59.43,CANCELADO,1,Minas Gerais
2947,441,2021-03-25,22:03,193.90,CANCELADO,1,Paraná
2948,442,2020-09-08,16:19,247.43,COMPRA,2,Paraná
2949,443,2020-12-29,09:39,240.62,CANCELADO,4,Bahia
2950,444,2020-04-19,14:56,158.60,COMPRA,3,Paraíba
2951,445,2020-12-05,20:40,255.38,DEVOLUÇÃO,4,Maranhão
2952,446,2020-04-30,23:08,92.96,DEVOLUÇÃO,7,Santa Catarina
2953,447,2020-10-11,08:45,229.45,CANCELADO,4,Goiás
2954,448,2020-10-15,00:26,251.90,COMPRA,6,Santa Catarina
2955,449,2020-07-19,02:09,261.09,CANCELADO,2,Ceará
2956,450,2021-03-13,14:12,25.15,COMPRA,6,Minas Gerais
2957,451,2021-02-09,17:28,154.22,COMPRA,4,Goiás
2958,452,2021-01-28,22:00,148.08,CANCELADO,6,Santa Catarina
2959,453,2021-01-28,21:24,247.58,DEVOLUÇÃO,4,Maranhão
2960,454,2020-07-11,15:09,220.80,DEVOLUÇÃO,4,Maranhão
2961,455,2020-10-15,11:48,194.68,DEVOLUÇÃO,4,Rio de Janeiro
2962,456,2020-08-23,08:35,147.72,DEVOLUÇÃO,4,Paraná
2963,457,2021-02-02,17:55,129.21,COMPRA,5,Bahia
2964,458,2020-11-19,23:55,211.43,CANCELADO,3,Rio de Janeiro
2965,459,2020-06-14,06:17,141.55,DEVOLUÇÃO,3,Goiás
2966,460,2020-05-24,12:47,147.40,COMPRA,2,Minas Gerais
2967,461,2020-05-01,06:30,62.62,CANCELADO,2,Goiás
2968,462,2020-10-20,07:04,216.93,CANCELADO,6,Pará
2969,463,2020-06-17,12:46,256.63,CANCELADO,2,Ceará
2970,464,2021-03-10,08:45,268.00,DEVOLUÇÃO,6,São Paulo
2971,465,2020-04-17,15:18,210.12,COMPRA,6,Rio de Janeiro
2972,466,2021-01-02,19:14,166.77,DEVOLUÇÃO,2,Paraíba
2973,467,2020-03-08,18:52,68.60,CANCELADO,4,Pará
2974,468,2020-09-24,00:38,161.88,COMPRA,7,Paraná
2975,469,2021-01-07,02:47,241.24,COMPRA,5,Paraíba
2976,470,2021-02-25,20:27,198.61,COMPRA,2,Paraná
2977,471,2021-03-01,15:16,108.49,COMPRA,1,Maranhão
2978,472,2020-03-27,16:55,69.28,COMPRA,5,São Paulo
2979,473,2020-07-24,13:03,67.96,COMPRA,2,Paraíba
2980,474,2020-05-03,00:07,234.20,CANCELADO,4,Maranhão
2981,475,2021-03-07,06:49,258.23,DEVOLUÇÃO,5,Minas Gerais
2982,476,2021-02-18,19:41,178.86,DEVOLUÇÃO,3,Santa Catarina
2983,477,2020-04-09,14:43,35.19,DEVOLUÇÃO,4,Minas Gerais
2984,478,2021-02-19,00:32,234.49,COMPRA,3,Pará
2985,479,2020-07-30,07:05,222.42,CANCELADO,1,Paraná
2986,480,2020-07-19,02:15,147.73,CANCELADO,2,Goiás
2987,481,2021-03-28,16:49,265.98,CANCELADO,5,Ceará
2988,482,2020-07-26,22:28,186.31,DEVOLUÇÃO,4,São Paulo
2989,483,2021-02-23,01:06,100.67,COMPRA,5,Paraná
2990,484,2020-12-21,00:15,23.55,COMPRA,6,Maranhão
2991,485,2020-10-16,10:45,134.01,DEVOLUÇÃO,7,Paraíba
2992,486,2021-03-06,20:46,143.33,DEVOLUÇÃO,2,Minas Gerais
2993,487,2021-02-10,03:14,207.95,CANCELADO,2,Minas Gerais
2994,488,2021-02-20,15:00,128.44,DEVOLUÇÃO,6,Bahia
2995,489,2020-05-01,09:41,140.73,CANCELADO,3,Minas Gerais
2996,490,2020-09-15,08:58,153.23,CANCELADO,6,Goiás
2997,491,2020-04-27,02:54,28.12,COMPRA,3,Bahia
2998,492,2021-01-24,00:47,106.22,CANCELADO,2,São Paulo
2999,493,2020-08-30,15:06,158.28,DEVOLUÇÃO,7,Bahia
3000,494,2020-06-03,02:08,267.74,CANCELADO,5,Pernambuco
3001,495,2020-09-28,20:21,236.95,CANCELADO,3,Ceará
3002,496,2021-02-15,09:53,77.28,COMPRA,7,Rio de Janeiro
3003,497,2021-03-20,17:07,218.32,DEVOLUÇÃO,4,Paraíba
3004,498,2020-10-28,19:36,29.53,CANCELADO,5,Bahia
3005,499,2020-11-14,02:12,188.07,DEVOLUÇÃO,4,Ceará
3006,500,2020-03-07,03:22,62.70,CANCELADO,5,Maranhão
3007,501,2021-01-16,03:21,227.16,COMPRA,2,Pará
3008,502,,,,,,
3009,503,2020-10-17,09:26,25.26,CANCELADO,6,Goiás
3010,504,2020-11-18,14:00,251.44,DEVOLUÇÃO,2,Maranhão
3011,505,2020-08-20,22:39,157.12,COMPRA,5,Minas Gerais
3012,506,2020-08-24,18:20,53.86,COMPRA,4,Goiás
3013,507,2020-06-10,09:18,67.09,COMPRA,3,Ceará
3014,508,2020-10-05,00:09,202.23,COMPRA,6,Pará
3015,509,2021-01-11,22:33,127.53,CANCELADO,5,Rio Grande do Sul
3016,510,2020-04-02,15:42,117.65,CANCELADO,4,Maranhão
3017,511,2020-08-09,21:01,229.44,CANCELADO,6,Rio de Janeiro
3018,512,2020-08-06,03:28,135.08,DEVOLUÇÃO,7,Goiás
3019,513,2020-11-07,09:49,264.73,CANCELADO,5,Maranhão
3020,514,2020-09-29,03:01,138.25,COMPRA,6,Santa Catarina
3021,515,2021-03-11,07:15,101.05,COMPRA,4,Pernambuco
3022,516,2020-11-12,04:55,50.55,DEVOLUÇÃO,4,Rio de Janeiro
3023,517,2020-12-31,01:29,163.98,CANCELADO,5,Goiás
3024,518,2020-09-15,11:01,165.44,COMPRA,4,Rio Grande do Sul
3025,519,2021-03-18,08:47,244.94,COMPRA,3,Bahia
3026,520,2020-04-24,23:46,235.22,DEVOLUÇÃO,4,Paraíba
3027,521,2020-04-07,20:31,147.32,CANCELADO,7,Bahia
3028,522,2020-11-06,02:18,266.74,COMPRA,2,Paraná
3029,523,2020-03-04,21:48,160.77,COMPRA,5,Santa Catarina
3030,524,2020-06-21,17:24,198.56,COMPRA,2,Minas Gerais
3031,525,2021-02-14,18:31,74.33,DEVOLUÇÃO,4,Maranhão
3032,526,2020-08-17,23:48,91.75,COMPRA,6,Paraíba
3033,527,2020-03-03,01:46,235.55,COMPRA,7,Pernambuco
3034,528,2020-05-18,21:47,235.37,COMPRA,2,Minas Gerais
3035,529,2021-03-22,07:11,29.66,COMPRA,3,Maranhão
3036,530,2020-04-21,03:57,141.83,CANCELADO,1,Maranhão
3037,531,2020-11-27,06:24,192.60,DEVOLUÇÃO,2,Paraíba
3038,532,2020-10-26,09:51,93.57,DEVOLUÇÃO,1,Pernambuco
3039,533,2021-03-18,16:19,120.24,COMPRA,5,Bahia
3040,534,2020-06-29,00:39,138.45,CANCELADO,6,Paraíba
3041,535,2021-03-18,06:13,177.95,CANCELADO,4,Rio Grande do Sul
3042,536,2021-01-18,12:07,190.84,DEVOLUÇÃO,5,Rio Grande do Sul
3043,537,2020-06-29,06:51,111.17,CANCELADO,4,Maranhão
3044,538,2020-12-26,16:19,191.53,DEVOLUÇÃO,6,Paraná
3045,539,2021-01-13,02:58,252.63,CANCELADO,4,São Paulo
3046,540,2020-09-19,08:28,116.68,CANCELADO,4,Paraná
3047,541,2020-07-28,05:03,231.65,COMPRA,2,Rio Grande do Sul
3048,542,2020-06-13,13:11,36.63,CANCELADO,3,Maranhão
3049,543,2020-11-06,04:10,69.39,CANCELADO,2,Pará
3050,544,2020-08-04,23:57,243.04,COMPRA,6,Rio de Janeiro
3051,545,2020-10-24,04:43,60.14,DEVOLUÇÃO,7,Rio Grande do Sul
3052,546,2020-05-31,01:51,174.97,COMPRA,7,Santa Catarina
3053,547,2021-02-09,08:33,194.43,COMPRA,2,Maranhão
3054,548,2021-02-03,10:40,251.10,CANCELADO,5,Ceará
3055,549,2020-05-12,15:39,152.57,DEVOLUÇÃO,1,Pará
3056,550,2020-08-23,23:32,36.18,COMPRA,2,São Paulo
3057,551,2021-03-10,10:45,121.72,CANCELADO,7,Maranhão
3058,552,2020-09-21,21:39,189.00,DEVOLUÇÃO,1,Paraná
3059,553,2020-03-29,21:38,174.81,CANCELADO,6,Santa Catarina
3060,554,2020-03-25,07:53,144.25,COMPRA,2,Santa Catarina
3061,555,2020-03-01,18:24,157.14,DEVOLUÇÃO,3,Pará
3062,556,2020-08-11,00:18,131.76,DEVOLUÇÃO,7,Pernambuco
3063,557,2020-10-03,07:38,165.71,CANCELADO,3,Rio Grande do Sul
3064,558,2020-12-11,16:14,44.75,COMPRA,2,Paraíba
3065,559,2020-03-03,21:35,233.15,COMPRA,3,Ceará
3066,560,2020-11-12,09:17,50.63,CANCELADO,4,Minas Gerais
3067,561,2021-01-09,06:20,49.43,COMPRA,5,Pará
3068,562,2020-09-23,00:51,92.58,COMPRA,6,Goiás
3069,563,2020-04-15,13:14,261.06,DEVOLUÇÃO,2,Ceará
3070,564,2021-02-21,21:18,51.13,CANCELADO,6,Rio Grande do Sul
3071,565,2020-06-24,05:48,265.87,COMPRA,4,Maranhão
3072,566,2021-02-18,11:31,220.26,DEVOLUÇÃO,6,Rio Grande do Sul
3073,567,2020-05-14,07:00,232.84,CANCELADO,2,Maranhão
3074,568,2020-03-17,08:46,105.95,CANCELADO,2,Rio Grande do Sul
3075,569,2020-04-07,15:29,75.68,CANCELADO,3,São Paulo
3076,570,2020-11-14,12:18,94.02,DEVOLUÇÃO,7,Pernambuco
3077,571,2021-02-21,17:47,156.91,DEVOLUÇÃO,5,Pernambuco
3078,572,2020-05-11,22:56,237.45,CANCELADO,6,Paraíba
3079,573,2020-07-14,14:15,220.00,COMPRA,2,Ceará
3080,574,2020-04-14,21:49,175.19,DEVOLUÇÃO,4,Santa Catarina
3081,575,2020-04-15,04:57,133.58,COMPRA,5,Santa Catarina
3082,576,2020-05-05,15:16,163.14,CANCELADO,6,Ceará
3083,577,2020-06-11,11:10,147.32,COMPRA,1,Maranhão
3084,578,2021-02-15,09:05,215.57,COMPRA,4,Bahia
3085,579,2021-03-01,07:10,93.45,CANCELADO,6,Maranhão
3086,580,2020-10-14,04:51,139.60,CANCELADO,3,Santa Catarina
3087,581,2020-04-06,12:41,150.75,DEVOLUÇÃO,6,Bahia
3088,582,2020-12-26,01:44,57.84,DEVOLUÇÃO,4,Paraná
3089,583,2020-04-19,11:45,99.33,CANCELADO,5,Pernambuco
3090,584,2020-12-08,23:01,255.32,COMPRA,6,Goiás
3091,585,2020-12-15,22:13,226.29,CANCELADO,7,Santa Catarina
3092,586,2020-09-05,05:43,77.65,COMPRA,5,Rio de Janeiro
3093,587,2020-03-18,03:11,105.94,COMPRA,6,Paraíba
3094,588,2020-09-06,02:25,205.08,DEVOLUÇÃO,3,Santa Catarina
3095,589,2020-04-23,17:17,154.81,DEVOLUÇÃO,5,São Paulo
3096,590,2021-03-02,15:59,234.22,COMPRA,2,Paraná
3097,591,2020-10-27,03:25,57.95,DEVOLUÇÃO,1,Rio Grande do Sul
3098,592,2020-05-16,07:55,253.75,COMPRA,3,Pernambuco
3099,593,2021-01-29,23:59,43.82,COMPRA,2,Paraná
3100,594,2021-03-28,08:27,132.94,CANCELADO,3,Minas Gerais
3101,595,2020-05-06,12:01,178.90,DEVOLUÇÃO,2,Bahia
3102,596,2020-09-20,14:38,150.69,COMPRA,2,Goiás
3103,597,2021-01-31,23:55,252.54,COMPRA,4,Rio Grande do Sul
3104,598,2020-10-06,03:56,169.39,CANCELADO,6,Pernambuco
3105,599,2020-03-04,02:12,262.23,CANCELADO,4,Paraíba
3106,600,2020-08-27,09:03,19.55,CANCELADO,3,Minas Gerais
3107,601,2020-10-15,07:10,68.12,COMPRA,2,Goiás
3108,602,2020-12-21,02:16,60.43,CANCELADO,5,Paraíba
3109,603,2020-07-15,08:08,198.39,CANCELADO,2,Maranhão
3110,604,2020-06-03,23:21,59.17,CANCELADO,3,Minas Gerais
